title,price,star_rating,availability,category,url,price_gbp,rating,in_stock,price_inr
A Light in the Attic,£51.77,Three,In stock (22 available),Poetry,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,3,True,5461.74
Tipping the Velvet,£53.74,One,In stock (20 available),Historical Fiction,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,1,True,5669.57
Soumission,£50.10,One,In stock (20 available),Fiction,https://books.toscrape.com/catalogue/soumission_998/index.html,50.1,1,True,5285.55
Sharp Objects,£47.82,Four,In stock (20 available),Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,4,True,5045.01
Sapiens: A Brief History of Humankind,£54.23,Five,In stock (20 available),History,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,5,True,5721.26
The Requiem Red,£22.65,One,In stock (19 available),Young Adult,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,1,True,2389.57
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock (19 available),Business,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,4,True,3517.37
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock (19 available),Default,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,3,True,1891.62
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,In stock (19 available),Default,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,4,True,2384.3
The Black Maria,£52.15,One,In stock (19 available),Poetry,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,1,True,5501.82
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock (19 available),Default,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,2,True,1475.94
Shakespeare's Sonnets,£20.66,Four,In stock (19 available),Poetry,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,20.66,4,True,2179.63
Set Me Free,£17.46,Five,In stock (19 available),Young Adult,https://books.toscrape.com/catalogue/set-me-free_988/index.html,17.46,5,True,1842.03
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock (19 available),Sequential Art,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,5,True,5516.6
Rip it Up and Start Again,£35.02,Five,In stock (19 available),Music,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,35.02,5,True,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock (19 available),Music,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,3,True,6039.88
Olio,£23.88,One,In stock (19 available),Poetry,https://books.toscrape.com/catalogue/olio_984/index.html,23.88,1,True,2519.34
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock (19 available),Science Fiction,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,1,True,3965.75
Libertarianism for Beginners,£51.33,Two,In stock (19 available),Politics,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,51.33,2,True,5415.32
It's Only the Himalayas,£45.17,Two,In stock (19 available),Travel,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,45.17,2,True,4765.44
In Her Wake,£12.84,One,In stock (19 available),Thriller,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,12.84,1,True,1354.62
How Music Works,£37.32,Two,In stock (19 available),Music,https://books.toscrape.com/catalogue/how-music-works_979/index.html,37.32,2,True,3937.26
